,carrier,p_nom,year_removed,retrofit,bus
DE0 27 ror,ror,0.18,2057,1957.0,DE0 27
DE0 23 ror,ror,0.06,2057,1957.0,DE0 23
DE0 D2 ror,ror,20.3,2057,1957.0,DE0 D2
DE0 23 ror,ror,0.06,2057,1957.0,DE0 23
DE0 23 ror,ror,0.09,2057,1957.0,DE0 23
DE0 23 ror,ror,0.294,2057,1957.0,DE0 23
DE0 22 ror,ror,0.125,2057,1957.0,DE0 22
DE0 73 ror,ror,0.685,2057,1957.0,DE0 73
DE0 D4 ror,ror,0.22,2057,1957.0,DE0 D4
DE0 11 ror,ror,0.235,2057,1957.0,DE0 11
DE0 22 ror,ror,0.074,2057,1957.0,DE0 22
DE0 21 ror,ror,0.4,2057,1957.0,DE0 21
DE0 13 ror,ror,0.316,2057,1957.0,DE0 13
DE0 72 ror,ror,0.038,2057,1957.0,DE0 72
DE0 24 ror,ror,0.15,2057,1957.0,DE0 24
DE0 22 ror,ror,0.305,2057,1957.0,DE0 22
DE0 G0 ror,ror,0.075,2057,1957.0,DE0 G0
DE0 G0 ror,ror,0.075,2057,1957.0,DE0 G0
DE0 21 ror,ror,0.07,2057,1957.0,DE0 21
DE0 22 ror,ror,0.055,2057,1957.0,DE0 22
DE0 92 ror,ror,0.085,2057,1957.0,DE0 92
DE0 21 ror,ror,0.36,2057,1957.0,DE0 21
DE0 24 ror,ror,0.135,2057,1957.0,DE0 24
DE0 G0 ror,ror,0.225,2057,1957.0,DE0 G0
DE0 26 ror,ror,0.052,2057,1957.0,DE0 26
DE0 B1 ror,ror,0.055,2057,1957.0,DE0 B1
DE0 G0 ror,ror,0.264,2057,1957.0,DE0 G0
DE0 21 ror,ror,0.04,2057,1957.0,DE0 21
DE0 D4 ror,ror,0.23,2057,1957.0,DE0 D4
DE0 14 ror,ror,0.35,2057,1957.0,DE0 14
DE0 14 ror,ror,0.185,2057,1957.0,DE0 14
DE0 D4 ror,ror,0.11,2057,1957.0,DE0 D4
DE0 14 ror,ror,0.605,2057,1957.0,DE0 14
DE0 27 ror,ror,0.145,2057,1957.0,DE0 27
DE0 12 ror,ror,0.06,2057,1957.0,DE0 12
DE0 11 ror,ror,0.185,2057,1957.0,DE0 11
DE0 24 ror,ror,0.06,2057,1957.0,DE0 24
DE0 27 ror,ror,0.9,2057,1957.0,DE0 27
DE0 D4 ror,ror,0.0844,2057,1957.0,DE0 D4
DE0 24 ror,ror,0.034,2057,1957.0,DE0 24
DE0 91 ror,ror,1.5,2057,1957.0,DE0 91
DE0 21 ror,ror,3.1500000000000004,2057,1957.0,DE0 21
DE0 21 ror,ror,0.3720000000000001,2057,1957.0,DE0 21
DE0 24 ror,ror,0.04,2057,1957.0,DE0 24
DE0 D4 ror,ror,0.235,2057,1957.0,DE0 D4
DE0 21 ror,ror,1.4240000000000002,2057,1957.0,DE0 21
DE0 11 ror,ror,0.42,2057,1957.0,DE0 11
DE0 23 ror,ror,0.05,2057,1957.0,DE0 23
