,carrier,p_nom,bus,yearcommissioned,retrofit,year_removed
DE0 1 ror,ror,0.11,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.0955,DE0 1,1957,1957.0,2057
DE0 D ror,ror,0.45,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.075,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.447,DE0 1,1957,1957.0,2057
DE0 E ror,ror,1.45,DE0 E,1957,1957.0,2057
DE0 D ror,ror,1.0,DE0 D,1957,1957.0,2057
DE0 G ror,ror,0.045,DE0 G,1957,1957.0,2057
DE0 1 ror,ror,0.16,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.188,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.655,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.06,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.035,DE0 2,1957,1957.0,2057
DE0 9 ror,ror,0.5,DE0 9,1957,1957.0,2057
DE0 2 ror,ror,0.07,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.26,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.622,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.083,DE0 2,1957,1957.0,2057
DE0 E ror,ror,1.2,DE0 E,1957,1957.0,2057
DE0 4 ror,ror,0.095,DE0 4,1957,1957.0,2057
DE0 D ror,ror,0.12,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.032,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.585,DE0 D,1957,1957.0,2057
DE0 G ror,ror,0.6,DE0 G,1957,1957.0,2057
DE0 D ror,ror,0.11,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.034,DE0 2,1957,1957.0,2057
DE0 A ror,ror,0.11,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.096,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.093,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.052,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.0788,DE0 1,1957,1957.0,2057
DE0 1 ror,ror,0.33,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,1.2,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.13,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.1,DE0 2,1957,1957.0,2057
DE0 D ror,ror,0.28,DE0 D,1957,1957.0,2057
DE0 2 ror,ror,0.037,DE0 2,1957,1957.0,2057
DE0 G ror,ror,0.312,DE0 G,1957,1957.0,2057
DE0 A ror,ror,0.45,DE0 A,1957,1957.0,2057
DE0 2 ror,ror,0.075,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.05,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.35,DE0 2,1957,1957.0,2057
DE0 1 ror,ror,0.072,DE0 1,1957,1957.0,2057
DE0 D ror,ror,1.5,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.055,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.0368,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.07,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.2,DE0 2,1957,1957.0,2057
DE0 E ror,ror,4.5,DE0 E,1957,1957.0,2057
DE0 2 ror,ror,4.2,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.227,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.225,DE0 2,1957,1957.0,2057
DE0 A ror,ror,0.5,DE0 A,1957,1957.0,2057
DE0 E ror,ror,1.45,DE0 E,1957,1957.0,2057
DE0 D ror,ror,0.757,DE0 D,1957,1957.0,2057
DE0 1 ror,ror,0.33,DE0 1,1957,1957.0,2057
DE0 2 ror,ror,0.779,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.33,DE0 2,1957,1957.0,2057
DE0 2 ror,ror,0.27,DE0 2,1957,1957.0,2057
